1_Player,2_Nation,3_Pos,4_Squad,5_Comp,6_Age,7_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xG,Expected_npxG,Expected_xA,Expected_npxG+xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,33_Matches
Steven Alzate,co COL,MF,Brighton,eng Premier League,23-188,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches
Ibrahim Amadou,fr FRA,"DF,MF",Metz,fr Ligue 1,28-343,1993,6,6,527,5.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.05,0.00,0.05,0.05,0.05,Matches
Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,20-115,2001,3,1,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.0,0.0,0.0,0.1,0.04,0.05,0.08,0.04,0.08,Matches
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,27-084,1994,17,16,1416,15.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.00,0.01,0.01,0.00,0.01,Matches
Amath,sn SEN,"FW,MF",Mallorca,es La Liga,25-242,1996,18,8,829,9.2,0,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,1.3,1.3,0.2,1.5,0.14,0.02,0.16,0.14,0.16,Matches
Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,28-006,1994,2,2,164,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,28-006,1994,2,2,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches
Kelvin Amian,fr FRA,DF,Spezia,it Serie A,24-035,1998,23,22,1836,20.4,0,1,0,0,0,7,2,0.00,0.05,0.05,0.00,0.05,1.1,1.1,1.0,2.1,0.05,0.05,0.10,0.05,0.10,Matches
Nadiem Amiri,de GER,"MF,FW",Genoa,it Serie A,25-139,1996,4,1,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.11,0.04,0.14,0.11,0.14,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,25-139,1996,13,3,369,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.5,0.5,0.2,0.6,0.11,0.05,0.16,0.11,0.16,Matches
Ethan Ampadu,wls WAL,"MF,DF",Venezia,it Serie A,21-182,2000,21,18,1564,17.4,0,2,0,0,0,9,1,0.00,0.12,0.12,0.00,0.12,0.1,0.1,1.4,1.5,0.01,0.08,0.08,0.01,0.08,Matches
Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,25-206,1996,16,3,460,5.1,1,0,1,0,0,4,0,0.20,0.00,0.20,0.20,0.20,0.0,0.0,0.1,0.1,0.01,0.02,0.02,0.01,0.02,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25-288,1996,25,23,2106,23.4,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.4,0.4,1.1,1.5,0.02,0.04,0.06,0.02,0.06,Matches
Felipe Anderson,br BRA,FW,Lazio,it Serie A,28-334,1993,29,24,2111,23.5,5,5,5,0,0,1,0,0.21,0.21,0.43,0.21,0.43,4.2,4.2,5.6,9.8,0.18,0.24,0.42,0.18,0.42,Matches
Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30-243,1991,24,11,1084,12.0,2,1,2,0,0,3,0,0.17,0.08,0.25,0.17,0.25,4.0,4.0,1.3,5.3,0.33,0.11,0.44,0.33,0.44,Matches
Florin Andone,ro ROU,FW,Cádiz,es La Liga,28-338,1993,5,1,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.13,0.02,0.15,0.13,0.15,Matches
Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,23-150,1998,13,9,870,9.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.02,0.02,0.05,0.02,0.05,Matches
